id,date,source,language,country,topic_category,topic_subcategory,headline,short_text,sentiment,engagement_score,trend_score
trend_00041,2026-02-09,social_media_stream,en,US,global_events,protests,Global attention shifts towards protests developments,Users from US are actively discussing protests within the broader category of global events across multiple platforms.,negative,1504,0.113
trend_00042,2026-02-02,google_trends,hi,GB,global_events,conflicts,Global attention shifts towards conflicts developments,Users from GB are actively discussing conflicts within the broader category of global events across multiple platforms.,positive,4279,0.911
trend_00043,2026-02-20,google_trends,hi,GB,global_events,climate,Global attention shifts towards climate developments,Users from GB are actively discussing climate within the broader category of global events across multiple platforms.,positive,4010,0.634
trend_00044,2026-02-27,google_trends,en,IN,global_events,conflicts,Global attention shifts towards conflicts developments,Users from IN are actively discussing conflicts within the broader category of global events across multiple platforms.,negative,8299,0.92
trend_00045,2026-02-27,google_trends,hi,IN,entertainment,kdrama,Fans react to latest kdrama news on social media,Users from IN are actively discussing kdrama within the broader category of entertainment across multiple platforms.,neutral,915,0.778
trend_00046,2026-02-04,news_api,hi,GB,ai_and_tech,startups,Startups trend grows among developers in 2026,Users from GB are actively discussing startups within the broader category of ai and tech across multiple platforms.,negative,8041,0.735
trend_00047,2026-02-25,google_trends,en,PK,ai_and_tech,gen_ai,Gen Ai trend grows among developers in 2026,Users from PK are actively discussing gen ai within the broader category of ai and tech across multiple platforms.,negative,6324,0.226
trend_00048,2026-02-14,news_api,ur,US,global_events,elections,Global attention shifts towards elections developments,Users from US are actively discussing elections within the broader category of global events across multiple platforms.,positive,411,0.628
trend_00049,2026-02-24,social_media_stream,en,GB,sports,football,Record engagement for recent football matches,Users from GB are actively discussing football within the broader category of sports across multiple platforms.,positive,5804,0.993
trend_00050,2026-02-20,social_media_stream,ur,IN,economy,jobs,Jobs remains a key concern for young professionals,Users from IN are actively discussing jobs within the broader category of economy across multiple platforms.,neutral,2370,0.708
trend_00051,2026-02-03,google_trends,hi,GB,global_events,climate,Global attention shifts towards climate developments,Users from GB are actively discussing climate within the broader category of global events across multiple platforms.,negative,2099,0.893
trend_00052,2026-02-26,news_api,en,GB,entertainment,kdrama,Fans react to latest kdrama news on social media,Users from GB are actively discussing kdrama within the broader category of entertainment across multiple platforms.,neutral,8136,0.796
trend_00053,2026-02-24,google_trends,ur,GB,ai_and_tech,programming_jobs,Programming Jobs trend grows among developers in 2026,Users from GB are actively discussing programming jobs within the broader category of ai and tech across multiple platforms.,neutral,9657,0.958
trend_00054,2026-02-08,google_trends,hi,US,global_events,climate,Global attention shifts towards climate developments,Users from US are actively discussing climate within the broader category of global events across multiple platforms.,negative,6618,0.107
trend_00055,2026-02-20,news_api,hi,GB,economy,crypto,Crypto remains a key concern for young professionals,Users from GB are actively discussing crypto within the broader category of economy across multiple platforms.,positive,7937,0.919
trend_00056,2026-02-21,social_media_stream,ur,US,global_events,protests,Global attention shifts towards protests developments,Users from US are actively discussing protests within the broader category of global events across multiple platforms.,neutral,4261,0.69
trend_00057,2026-02-05,google_trends,ur,IN,entertainment,kdrama,Fans react to latest kdrama news on social media,Users from IN are actively discussing kdrama within the broader category of entertainment across multiple platforms.,positive,8065,0.625
trend_00058,2026-02-14,social_media_stream,en,GB,sports,esports,Record engagement for recent esports matches,Users from GB are actively discussing esports within the broader category of sports across multiple platforms.,positive,6129,0.991
trend_00059,2026-02-08,news_api,ur,US,sports,football,Record engagement for recent football matches,Users from US are actively discussing football within the broader category of sports across multiple platforms.,positive,5553,0.565
trend_00060,2026-02-05,news_api,en,PK,ai_and_tech,startups,Startups trend grows among developers in 2026,Users from PK are actively discussing startups within the broader category of ai and tech across multiple platforms.,negative,3265,0.709
trend_00061,2026-02-14,news_api,hi,GB,global_events,climate,Global attention shifts towards climate developments,Users from GB are actively discussing climate within the broader category of global events across multiple platforms.,negative,4813,0.53
trend_00062,2026-02-20,social_media_stream,en,PK,entertainment,hollywood,Fans react to latest hollywood news on social media,Users from PK are actively discussing hollywood within the broader category of entertainment across multiple platforms.,positive,3335,0.724
trend_00063,2026-02-21,google_trends,en,US,economy,stock_market,Stock Market remains a key concern for young professionals,Users from US are actively discussing stock market within the broader category of economy across multiple platforms.,negative,8179,0.839
trend_00064,2026-02-23,google_trends,en,GB,entertainment,kdrama,Fans react to latest kdrama news on social media,Users from GB are actively discussing kdrama within the broader category of entertainment across multiple platforms.,negative,9283,0.958
trend_00065,2026-02-12,news_api,en,IN,economy,crypto,Crypto remains a key concern for young professionals,Users from IN are actively discussing crypto within the broader category of economy across multiple platforms.,positive,7180,0.613
trend_00066,2026-02-19,news_api,ur,GB,global_events,climate,Global attention shifts towards climate developments,Users from GB are actively discussing climate within the broader category of global events across multiple platforms.,neutral,3394,0.19
trend_00067,2026-02-26,google_trends,ur,GB,global_events,elections,Global attention shifts towards elections developments,Users from GB are actively discussing elections within the broader category of global events across multiple platforms.,neutral,7293,0.581
trend_00068,2026-02-18,news_api,hi,US,entertainment,hollywood,Fans react to latest hollywood news on social media,Users from US are actively discussing hollywood within the broader category of entertainment across multiple platforms.,negative,8263,0.269
trend_00069,2026-02-28,news_api,en,PK,sports,cricket,Record engagement for recent cricket matches,Users from PK are actively discussing cricket within the broader category of sports across multiple platforms.,neutral,2728,0.51
trend_00070,2026-02-22,google_trends,hi,US,global_events,elections,Global attention shifts towards elections developments,Users from US are actively discussing elections within the broader category of global events across multiple platforms.,positive,1527,0.991
trend_00071,2026-02-26,news_api,ur,PK,global_events,elections,Global attention shifts towards elections developments,Users from PK are actively discussing elections within the broader category of global events across multiple platforms.,positive,3289,0.642
trend_00072,2026-02-12,google_trends,en,GB,global_events,elections,Global attention shifts towards elections developments,Users from GB are actively discussing elections within the broader category of global events across multiple platforms.,negative,1877,0.189
trend_00073,2026-02-23,social_media_stream,en,GB,ai_and_tech,programming_jobs,Programming Jobs trend grows among developers in 2026,Users from GB are actively discussing programming jobs within the broader category of ai and tech across multiple platforms.,negative,5841,0.201
trend_00074,2026-02-25,social_media_stream,hi,PK,entertainment,kdrama,Fans react to latest kdrama news on social media,Users from PK are actively discussing kdrama within the broader category of entertainment across multiple platforms.,neutral,8637,0.467
trend_00075,2026-02-27,social_media_stream,en,US,ai_and_tech,agentic_ai,Agentic Ai trend grows among developers in 2026,Users from US are actively discussing agentic ai within the broader category of ai and tech across multiple platforms.,negative,7010,0.252
trend_00076,2026-02-08,news_api,hi,US,ai_and_tech,agentic_ai,Agentic Ai trend grows among developers in 2026,Users from US are actively discussing agentic ai within the broader category of ai and tech across multiple platforms.,positive,1412,0.303
trend_00077,2026-02-11,news_api,hi,GB,economy,jobs,Jobs remains a key concern for young professionals,Users from GB are actively discussing jobs within the broader category of economy across multiple platforms.,neutral,8262,0.238
trend_00078,2026-02-06,social_media_stream,hi,PK,economy,jobs,Jobs remains a key concern for young professionals,Users from PK are actively discussing jobs within the broader category of economy across multiple platforms.,negative,7783,0.216
trend_00079,2026-02-06,social_media_stream,ur,PK,ai_and_tech,agentic_ai,Agentic Ai trend grows among developers in 2026,Users from PK are actively discussing agentic ai within the broader category of ai and tech across multiple platforms.,positive,2125,0.104
trend_00080,2026-02-15,news_api,en,IN,ai_and_tech,gen_ai,Gen Ai trend grows among developers in 2026,Users from IN are actively discussing gen ai within the broader category of ai and tech across multiple platforms.,positive,3986,0.942
trend_00081,2026-02-22,google_trends,ur,GB,economy,crypto,Crypto remains a key concern for young professionals,Users from GB are actively discussing crypto within the broader category of economy across multiple platforms.,negative,8235,0.56
trend_00082,2026-02-02,news_api,en,GB,economy,jobs,Jobs remains a key concern for young professionals,Users from GB are actively discussing jobs within the broader category of economy across multiple platforms.,positive,4468,0.651
trend_00083,2026-02-03,news_api,hi,US,entertainment,kdrama,Fans react to latest kdrama news on social media,Users from US are actively discussing kdrama within the broader category of entertainment across multiple platforms.,neutral,2786,0.729
trend_00084,2026-02-22,google_trends,hi,IN,entertainment,hollywood,Fans react to latest hollywood news on social media,Users from IN are actively discussing hollywood within the broader category of entertainment across multiple platforms.,positive,4277,0.602
trend_00085,2026-02-21,news_api,ur,GB,global_events,protests,Global attention shifts towards protests developments,Users from GB are actively discussing protests within the broader category of global events across multiple platforms.,negative,2116,0.999
trend_00086,2026-02-21,news_api,ur,PK,global_events,protests,Global attention shifts towards protests developments,Users from PK are actively discussing protests within the broader category of global events across multiple platforms.,neutral,490,0.561
trend_00087,2026-02-21,social_media_stream,en,IN,sports,football,Record engagement for recent football matches,Users from IN are actively discussing football within the broader category of sports across multiple platforms.,negative,5168,0.934
trend_00088,2026-02-03,social_media_stream,ur,US,economy,inflation,Inflation remains a key concern for young professionals,Users from US are actively discussing inflation within the broader category of economy across multiple platforms.,positive,2588,0.75
trend_00089,2026-02-04,google_trends,hi,US,ai_and_tech,startups,Startups trend grows among developers in 2026,Users from US are actively discussing startups within the broader category of ai and tech across multiple platforms.,positive,7147,0.143
trend_00090,2026-02-22,social_media_stream,en,GB,sports,olympics,Record engagement for recent olympics matches,Users from GB are actively discussing olympics within the broader category of sports across multiple platforms.,positive,702,0.974
trend_00091,2026-02-05,google_trends,ur,US,ai_and_tech,startups,Startups trend grows among developers in 2026,Users from US are actively discussing startups within the broader category of ai and tech across multiple platforms.,negative,7860,0.445
trend_00092,2026-02-05,news_api,ur,PK,sports,cricket,Record engagement for recent cricket matches,Users from PK are actively discussing cricket within the broader category of sports across multiple platforms.,neutral,9900,0.151
trend_00093,2026-02-12,google_trends,en,US,ai_and_tech,startups,Startups trend grows among developers in 2026,Users from US are actively discussing startups within the broader category of ai and tech across multiple platforms.,negative,8619,0.867
trend_00094,2026-02-13,news_api,en,GB,global_events,conflicts,Global attention shifts towards conflicts developments,Users from GB are actively discussing conflicts within the broader category of global events across multiple platforms.,negative,974,0.662
trend_00095,2026-02-21,social_media_stream,ur,PK,sports,olympics,Record engagement for recent olympics matches,Users from PK are actively discussing olympics within the broader category of sports across multiple platforms.,negative,5978,0.7
trend_00096,2026-02-01,google_trends,hi,PK,sports,esports,Record engagement for recent esports matches,Users from PK are actively discussing esports within the broader category of sports across multiple platforms.,positive,9612,0.755
trend_00097,2026-02-17,social_media_stream,ur,IN,economy,stock_market,Stock Market remains a key concern for young professionals,Users from IN are actively discussing stock market within the broader category of economy across multiple platforms.,positive,8787,0.406
trend_00098,2026-02-06,news_api,hi,PK,economy,stock_market,Stock Market remains a key concern for young professionals,Users from PK are actively discussing stock market within the broader category of economy across multiple platforms.,positive,8095,0.492
trend_00099,2026-02-09,news_api,hi,US,entertainment,hollywood,Fans react to latest hollywood news on social media,Users from US are actively discussing hollywood within the broader category of entertainment across multiple platforms.,positive,2115,0.925
trend_00100,2026-02-23,news_api,hi,PK,entertainment,hollywood,Fans react to latest hollywood news on social media,Users from PK are actively discussing hollywood within the broader category of entertainment across multiple platforms.,positive,8532,0.268
trend_00101,2026-02-04,google_trends,hi,US,sports,football,Record engagement for recent football matches,Users from US are actively discussing football within the broader category of sports across multiple platforms.,negative,2813,0.655
trend_00102,2026-02-11,social_media_stream,en,US,economy,stock_market,Stock Market remains a key concern for young professionals,Users from US are actively discussing stock market within the broader category of economy across multiple platforms.,positive,5802,0.726
trend_00103,2026-02-19,google_trends,hi,PK,economy,jobs,Jobs remains a key concern for young professionals,Users from PK are actively discussing jobs within the broader category of economy across multiple platforms.,negative,8185,0.993
trend_00104,2026-02-18,social_media_stream,ur,PK,ai_and_tech,agentic_ai,Agentic Ai trend grows among developers in 2026,Users from PK are actively discussing agentic ai within the broader category of ai and tech across multiple platforms.,positive,9123,0.834
trend_00105,2026-02-26,google_trends,ur,US,global_events,conflicts,Global attention shifts towards conflicts developments,Users from US are actively discussing conflicts within the broader category of global events across multiple platforms.,positive,4849,0.528
trend_00106,2026-02-20,social_media_stream,ur,US,global_events,conflicts,Global attention shifts towards conflicts developments,Users from US are actively discussing conflicts within the broader category of global events across multiple platforms.,positive,232,0.166
trend_00107,2026-02-19,google_trends,hi,IN,global_events,protests,Global attention shifts towards protests developments,Users from IN are actively discussing protests within the broader category of global events across multiple platforms.,negative,9647,0.211
trend_00108,2026-02-03,news_api,en,PK,ai_and_tech,programming_jobs,Programming Jobs trend grows among developers in 2026,Users from PK are actively discussing programming jobs within the broader category of ai and tech across multiple platforms.,negative,7524,0.623
trend_00109,2026-02-15,google_trends,en,GB,global_events,elections,Global attention shifts towards elections developments,Users from GB are actively discussing elections within the broader category of global events across multiple platforms.,positive,7046,0.905
trend_00110,2026-02-18,news_api,hi,US,global_events,climate,Global attention shifts towards climate developments,Users from US are actively discussing climate within the broader category of global events across multiple platforms.,positive,792,0.566
trend_00111,2026-02-23,social_media_stream,hi,GB,ai_and_tech,programming_jobs,Programming Jobs trend grows among developers in 2026,Users from GB are actively discussing programming jobs within the broader category of ai and tech across multiple platforms.,positive,232,0.815
trend_00112,2026-02-25,news_api,en,PK,ai_and_tech,startups,Startups trend grows among developers in 2026,Users from PK are actively discussing startups within the broader category of ai and tech across multiple platforms.,negative,3599,0.235
trend_00113,2026-02-04,google_trends,ur,US,global_events,conflicts,Global attention shifts towards conflicts developments,Users from US are actively discussing conflicts within the broader category of global events across multiple platforms.,neutral,5290,0.745
trend_00114,2026-02-08,google_trends,en,IN,economy,crypto,Crypto remains a key concern for young professionals,Users from IN are actively discussing crypto within the broader category of economy across multiple platforms.,positive,6076,0.406
trend_00115,2026-02-08,social_media_stream,ur,GB,entertainment,music_releases,Fans react to latest music releases news on social media,Users from GB are actively discussing music releases within the broader category of entertainment across multiple platforms.,negative,8820,0.65
trend_00116,2026-02-28,news_api,ur,GB,sports,olympics,Record engagement for recent olympics matches,Users from GB are actively discussing olympics within the broader category of sports across multiple platforms.,positive,1866,0.919
trend_00117,2026-02-18,social_media_stream,hi,US,sports,football,Record engagement for recent football matches,Users from US are actively discussing football within the broader category of sports across multiple platforms.,neutral,5095,0.402
trend_00118,2026-02-12,google_trends,en,IN,economy,crypto,Crypto remains a key concern for young professionals,Users from IN are actively discussing crypto within the broader category of economy across multiple platforms.,negative,1490,0.533
trend_00119,2026-02-18,social_media_stream,ur,US,sports,football,Record engagement for recent football matches,Users from US are actively discussing football within the broader category of sports across multiple platforms.,neutral,4455,0.724
trend_00120,2026-02-15,social_media_stream,en,IN,ai_and_tech,programming_jobs,Programming Jobs trend grows among developers in 2026,Users from IN are actively discussing programming jobs within the broader category of ai and tech across multiple platforms.,neutral,6385,0.748
trend_00121,2026-02-11,news_api,hi,PK,economy,stock_market,Stock Market remains a key concern for young professionals,Users from PK are actively discussing stock market within the broader category of economy across multiple platforms.,negative,3934,0.135
trend_00122,2026-02-20,news_api,hi,IN,global_events,climate,Global attention shifts towards climate developments,Users from IN are actively discussing climate within the broader category of global events across multiple platforms.,positive,9209,0.799
trend_00123,2026-02-22,news_api,hi,GB,entertainment,music_releases,Fans react to latest music releases news on social media,Users from GB are actively discussing music releases within the broader category of entertainment across multiple platforms.,negative,5796,0.423
trend_00124,2026-02-12,news_api,hi,PK,economy,jobs,Jobs remains a key concern for young professionals,Users from PK are actively discussing jobs within the broader category of economy across multiple platforms.,neutral,2665,0.317
trend_00125,2026-02-08,news_api,en,IN,ai_and_tech,gen_ai,Gen Ai trend grows among developers in 2026,Users from IN are actively discussing gen ai within the broader category of ai and tech across multiple platforms.,positive,8042,0.194
trend_00126,2026-02-21,news_api,en,US,economy,inflation,Inflation remains a key concern for young professionals,Users from US are actively discussing inflation within the broader category of economy across multiple platforms.,positive,3063,0.571
trend_00127,2026-02-18,social_media_stream,en,US,ai_and_tech,gen_ai,Gen Ai trend grows among developers in 2026,Users from US are actively discussing gen ai within the broader category of ai and tech across multiple platforms.,positive,8030,0.912
trend_00128,2026-02-13,google_trends,ur,US,economy,stock_market,Stock Market remains a key concern for young professionals,Users from US are actively discussing stock market within the broader category of economy across multiple platforms.,positive,2252,0.662
trend_00129,2026-02-10,social_media_stream,ur,GB,economy,stock_market,Stock Market remains a key concern for young professionals,Users from GB are actively discussing stock market within the broader category of economy across multiple platforms.,neutral,6738,0.8
trend_00130,2026-02-28,news_api,ur,GB,global_events,climate,Global attention shifts towards climate developments,Users from GB are actively discussing climate within the broader category of global events across multiple platforms.,neutral,3505,0.292
trend_00131,2026-02-18,social_media_stream,ur,US,economy,inflation,Inflation remains a key concern for young professionals,Users from US are actively discussing inflation within the broader category of economy across multiple platforms.,neutral,1763,0.592
trend_00132,2026-02-26,google_trends,ur,IN,sports,olympics,Record engagement for recent olympics matches,Users from IN are actively discussing olympics within the broader category of sports across multiple platforms.,negative,3561,0.105
trend_00133,2026-02-11,social_media_stream,en,GB,global_events,conflicts,Global attention shifts towards conflicts developments,Users from GB are actively discussing conflicts within the broader category of global events across multiple platforms.,neutral,6840,0.709
trend_00134,2026-02-08,news_api,en,PK,sports,esports,Record engagement for recent esports matches,Users from PK are actively discussing esports within the broader category of sports across multiple platforms.,neutral,9745,0.257
trend_00135,2026-02-04,news_api,en,US,economy,inflation,Inflation remains a key concern for young professionals,Users from US are actively discussing inflation within the broader category of economy across multiple platforms.,negative,9929,0.5
trend_00136,2026-02-08,google_trends,ur,GB,sports,olympics,Record engagement for recent olympics matches,Users from GB are actively discussing olympics within the broader category of sports across multiple platforms.,negative,7079,0.363
trend_00137,2026-02-01,news_api,en,IN,sports,cricket,Record engagement for recent cricket matches,Users from IN are actively discussing cricket within the broader category of sports across multiple platforms.,negative,3256,0.965
trend_00138,2026-02-03,news_api,ur,US,sports,football,Record engagement for recent football matches,Users from US are actively discussing football within the broader category of sports across multiple platforms.,neutral,9864,0.781
trend_00139,2026-02-21,news_api,hi,PK,sports,olympics,Record engagement for recent olympics matches,Users from PK are actively discussing olympics within the broader category of sports across multiple platforms.,negative,4688,0.144
trend_00140,2026-02-13,news_api,hi,IN,entertainment,bollywood,Fans react to latest bollywood news on social media,Users from IN are actively discussing bollywood within the broader category of entertainment across multiple platforms.,positive,8603,0.543
trend_00141,2026-02-08,google_trends,hi,US,economy,inflation,Inflation remains a key concern for young professionals,Users from US are actively discussing inflation within the broader category of economy across multiple platforms.,neutral,7407,0.261
trend_00142,2026-02-28,google_trends,hi,GB,ai_and_tech,gen_ai,Gen Ai trend grows among developers in 2026,Users from GB are actively discussing gen ai within the broader category of ai and tech across multiple platforms.,positive,4224,0.202
trend_00143,2026-02-19,google_trends,hi,US,global_events,elections,Global attention shifts towards elections developments,Users from US are actively discussing elections within the broader category of global events across multiple platforms.,neutral,995,0.17
trend_00144,2026-02-23,google_trends,en,GB,ai_and_tech,programming_jobs,Programming Jobs trend grows among developers in 2026,Users from GB are actively discussing programming jobs within the broader category of ai and tech across multiple platforms.,positive,526,0.929
trend_00145,2026-02-11,news_api,hi,GB,sports,esports,Record engagement for recent esports matches,Users from GB are actively discussing esports within the broader category of sports across multiple platforms.,positive,1605,0.141
trend_00146,2026-02-15,news_api,hi,GB,entertainment,music_releases,Fans react to latest music releases news on social media,Users from GB are actively discussing music releases within the broader category of entertainment across multiple platforms.,negative,1643,0.203
trend_00147,2026-02-10,news_api,ur,IN,economy,crypto,Crypto remains a key concern for young professionals,Users from IN are actively discussing crypto within the broader category of economy across multiple platforms.,negative,9618,0.677
trend_00148,2026-02-06,news_api,hi,PK,sports,cricket,Record engagement for recent cricket matches,Users from PK are actively discussing cricket within the broader category of sports across multiple platforms.,negative,8570,0.356
trend_00149,2026-02-23,social_media_stream,ur,US,economy,inflation,Inflation remains a key concern for young professionals,Users from US are actively discussing inflation within the broader category of economy across multiple platforms.,negative,8872,0.84
trend_00150,2026-02-13,news_api,ur,IN,economy,inflation,Inflation remains a key concern for young professionals,Users from IN are actively discussing inflation within the broader category of economy across multiple platforms.,negative,9428,0.251
trend_00151,2026-02-06,news_api,hi,GB,economy,inflation,Inflation remains a key concern for young professionals,Users from GB are actively discussing inflation within the broader category of economy across multiple platforms.,negative,1297,0.341
trend_00152,2026-02-15,news_api,ur,GB,sports,football,Record engagement for recent football matches,Users from GB are actively discussing football within the broader category of sports across multiple platforms.,neutral,9694,0.606
trend_00153,2026-02-20,google_trends,hi,PK,global_events,protests,Global attention shifts towards protests developments,Users from PK are actively discussing protests within the broader category of global events across multiple platforms.,neutral,3884,0.526
trend_00154,2026-02-13,google_trends,en,US,global_events,protests,Global attention shifts towards protests developments,Users from US are actively discussing protests within the broader category of global events across multiple platforms.,neutral,6116,0.886
trend_00155,2026-02-17,social_media_stream,en,IN,sports,esports,Record engagement for recent esports matches,Users from IN are actively discussing esports within the broader category of sports across multiple platforms.,neutral,8647,0.809
